User_Name,Stars_Rating,Review_Title,Review_Date,Review_Content
Sandra Ohan,4.0 out of 5 stars,Angenehmes Material,Reviewed in Germany on 6 February 2023,Hält was es verspricht.. Gerne wieder
Emnesty,4.0 out of 5 stars,Wie ein Word Champion!,Reviewed in Germany on 28 January 2023,"Puh war das gut! Sagte sie!Ballern wie ein Weltmeister , mit Performa.Ob quicky oder love nicht mehr ohne mein performa."
Super byer,5.0 out of 5 stars,TOP,Reviewed in Germany on 23 January 2023,Kann ich wärmstens empfehlen.Ich bin mit der Qualität und diesem doch etwas anderem Kondom von Durex sehr zufrieden.Es hält was es verspricht.
User not found,5.0 out of 5 stars,Really amazing,Reviewed in Germany on 28 December 2022,"I bought this to use for the first time I wanted to sleep with my girlfriend because i was a little bit afraid that i can not hold it enough. because i really like her, i though i'd be too excited.So i used this candom and didn't mention that it has benzocain.I lasted about 3 hours (50 minutes of penetration). It works, it's perfect."
Robin,5.0 out of 5 stars,Sehr empfehlenswert,Reviewed in Germany on 23 January 2023,halten was sie versprechen
Luke,5.0 out of 5 stars,TOP,Reviewed in Germany on 21 January 2023,halten was sie versprechen am besten für mehr als 2 gedacht
Ben Rödiger,4.0 out of 5 stars,Sporadischer Erfolg,Reviewed in Germany on 23 October 2022,"Ich habe die lange im Wechsel benutzt und muss sagen, dass sie nicht immer ihren Job getan haben. Sehr sporadisch. Aber wenn es funktioniert hat, wurden aus 5 Minuten 60 oder mehr.Habe aber auch selten diese Einwirkzeit beachtet."
Isabella Efpunkt,5.0 out of 5 stars,"Sie halten, was sie versprechen",Reviewed in Germany on 21 December 2019,"Durch die Medien sind wir auf diese Kondome gestoßen und wollten uns mal ein eigenes Bild machen.Lieferung / Lieferumfang:Dank Amazon-Prime kamen die Kondome von Durex sicher verpackt und schon am nächsten Werktag bei uns an.Lieferumgang:14 Durex Performa KondomeVerarbeitung und Qualität:Die Kondome von Durex versprechen längeren Spaß durch den 5%igen Anteil an benzocain. Was passiert also? Im inneren des Kondoms ist eine benzocain haltige Creme, die beim überziehen des Kondomes in der Spitze verbleibt. Durch die Körperwärme verflüssigt sich die Creme und verteilt sich quasi ""von alleine"" innerhalb des Kondoms. Dadurch tritt sehr schnell eine abgeschwächte Betäubung des Glieds auf. Durch diese Betäubung soll Mann länger können. Und was soll ich sagen: Es funktioniert. Es funktioniert so gut, dass stellenweise das Kondom abgenommen werden musste, weil fast nichts mehr zu spüren war.Was ist nicht so toll?Das Gel welches sich in der Spitze des Kondoms befindet kann sehr schnell aus dem Kondom fallen, was dieses teurere Kondom dann zu einem normalen Kondom macht und somit keinerlei Wirkung mehr hat. Hier sollte man also aufpassen.Empfehlung:Die Kondome machen ihrem Namen alle Ehre. Es hält was es verspricht und ist meiner Meinung nach den Aufpreis wert. Wer also Probleme mit der Dauer des Aktes hat, findet hier schnelle und einfache Abhilfe.Absolute Kaufempfehlung!Ich versuche mir mit meinen Bewertungen immer besonders viel Mühe zu geben und hoffe euch einen übersichtlichen Eindruck vermittelt zu haben.Vielen Dank :-)"
Qadir,4.0 out of 5 stars,Super,Reviewed in Germany on 5 November 2022,it is absolutely fine for a long love night
Andreas,5.0 out of 5 stars,Sehr zufrieden,Reviewed in Germany on 23 November 2022,Klar kann man die einfach im dm holen aber die eher es kompliziert machen wollen ist es auch eine möglichkeit die haben perfekt geh passt und keiner der nicht Funktioniert hatt also die es eher unauffällig machen wollen ist das ein möglichkeit.
Max Muster,3.0 out of 5 stars,Kleber artige partikel,Reviewed in Germany on 18 January 2023,Es sind in jedem Kondom Stücke die eine Kkebstoffstift artige Konsistenz haben. 2 von den Kondomen Sind gerissen und die Passform is weniger gut
René Heppelter,5.0 out of 5 stars,Sitzt super 🤣,Reviewed in Germany on 7 December 2022,Läuft damit
Bernd,3.0 out of 5 stars,Sitzt und passt,Reviewed in Germany on 16 January 2023,"leider kam Lieferung nicht am nächsten Tag,Passform ist gut und hält,reisst nicht.Jedoch keine merkliche Aktverlängerrung wie beworben."
Scholz M.,5.0 out of 5 stars,Sehr sehr sehr gut 😁,Reviewed in Germany on 8 April 2022,"Hatte mir ja die anderen Bewertungen durchgelesen, weil ich das noch gar nicht kannte.Habe mir die bestellt und gestern angekommen. Am Abend mit meiner Frau gleich mal getetest. Habe ihr erstmal nix gesagt.Ich muss wirklich sagen, was sehr positiv überrascht. Die Beschreibung trifft voll und ganz zu.Lieferung war super schnell. Nur eins wäre anzumerken an den auslieferer, nicht mit allermacht Versuchen es in den Briefkasten zu rammeln.. 🤦‍♂️🤦‍♂️Sonst leicht über zuziehen, habe das gel etwas einmassiert, dauert trotzdem ca 3-5 Minuten eh der Effekt einsetzt.Danach kann es scharf gehen 😂 im warsten Sinne. Man kann mit den dingern definitiv länger man merkt aber trotzdem noch was.Es bleibt auch alles hart, kein erschlaffen.Wer Probleme hat, sollte die auf jedenfall mal testenNur vorsichtig auspacken, damit das gel nicht raus fällt.Die Frauen haben dann auf jeden Fall afu mehr davon. 😁👍"
Oliver,3.0 out of 5 stars,Sind OK,Reviewed in Germany on 8 December 2022,Man(n) verspürt einen Unterschied. Ob es jetzt wirklich mehr raus holt wag ich zu bezweifeln dabei spielt die Einwirkzeit mMn. keine wirkliche Rolle.
Allen,4.0 out of 5 stars,best quality,Reviewed in Germany on 3 May 2022,I am always satisfied with the quality of Durex condoms. Especially Performa condoms help me to last longer in bed. I never had any experience that these condoms break during my use. the only drawback is that they could be thicker to make the time in bed even longer.
J.M,3.0 out of 5 stars,OK...,Reviewed in Germany on 20 October 2022,"Hält, was es verspricht... zumindest in Sache Verzögerung.Leider aber nicht in puncto Schutz.Bisher habe ich 5 Kondome benutzt, davon sind zwei gerissen!"
Canis W.,5.0 out of 5 stars,Keinerlei Beanstandungen,Reviewed in Germany on 13 November 2020,"Bin vollends mit diesen Kondome zufrieden, und werde auch in Zukunft dazu greifen.Lieferung:Standardgemäß wird es in einer neutralen Amazon-Verpackung geliefert. Wer also bedenken hat bzgl. dessen muss vor nichts Angst haben. Meine kamen, dank Prime-Mitgliedschaft und Abo, immer pünktlich und es gab keine Probleme.Geliefert werden 14 Kondome pro Packung.Funktion und Qualität:Nun zu dem Teil, weswegen hier wohl die meisten sind: Ob es wirklich funktioniert. Mit Hilfe von 5% benzocainhaltigem Gel soll der Akt verlängert werden, sei es aus medizinischen Gründen oder einfach so. Vorne im Zipfel des Kondoms befindet sich das noch leicht feste Gel, welches bei Körpertemperatur flüssiger wird und sich so selbst im Kondom und auf dem Penis verteilt. Das anziehen funktioniert ohne Problem, nur sollte man darauf achten, es sachgemäß anzuziehen, da das Gel bei wenig Vorsicht herausfallen kann, was dann dazu führt, dass man keinen Effekt mehr hat (verständlich).Und, funktioniert es? Ja, das tut es! Der Liebesakt wird deutlich verlängert, bei mir ist es im Durchschnitt eine zeitliche Zunahme von etwa 20-30%, je nach Stellung, Intensivität und der eigenen Libido im Moment.Wer also auf der Suche nach einer kurzzeitigen Lösung von frühzeitigem Samenerguss ist, der hat hier seine Antwort gefunden, bis man evlt. vom Urologen weitergeholfen werden kann (wenn man dies möchte)."
junisi,3.0 out of 5 stars,Ausdauer Effekt nicht gegeben,Reviewed in Germany on 29 June 2022,"Ich habe mir diese Kondome gekauft da ich auch unter die zu-früh-Kommer falle. An manchen Tagen hatte ich das Gefühl ich kann wirklich länger, an anderen Tagen wiederum habe ich keinen Unterschied zu normalen Kondomen gemerkt, das ist sehr schade. Im Schnitt würde ich sagen 2 von 10 Kondomen hatten bei mir diese Wirkung, ich habe mir wirklich mehr erwartet."
Vien,5.0 out of 5 stars,Wahnsinn!,Reviewed in Germany on 11 July 2022,Ich hatte mir hier ein paar extra Minuten erhofft durch die positiven Kommentare. Das eigentliche Ergebnis hat mich dann aber echt von den Socken gehauen und auch meinen Lover überrascht. Eine absolute Bereicherung für unser Liebesleben und jeden Cent wert.
Yassin Reshahi,5.0 out of 5 stars,Vielen Dank,Reviewed in Germany on 24 September 2022,Ich bin zufrieden empfelle weiter
Sascha Behrendt,3.0 out of 5 stars,Naja kaum Wirkung 🤷‍♂️,Reviewed in Germany on 10 August 2022,Lieferung ging schnell. Zu Produkt sind halt Kondome 🤷‍♂️
Der_Marcel_Los_Wochos,3.0 out of 5 stars,Hält es verspricht! Nur riecht es penetrant nach Latex!,Reviewed in Germany on 14 June 2022,Super Produkt!Empfehlenswert!Passform auch sehr angenehm!Hält was es verspricht!Nur gibt es ein ganz großes Problem.Die Kondome riechen extrem penetrant nach Latex.Bedeutet: während des Aktes riecht es extrem nach Latex… vielleicht kann man daran etwas ändern dann wäre es perfekt!
Ian Schimpf ,4.0 out of 5 stars,"Manchmal krass, manchmal nicht krass",Reviewed in Germany on 2 January 2022,"Hab jetzt 4 Stück benutzt. 2 mal war es sehr gut, also hat echt betäubt und 2 mal war es wie ein normales Kondom."
Joe Moe,5.0 out of 5 stars,Sehr angenehm und funktionieren,Reviewed in Germany on 18 August 2022,Eigentlich als Gag gekauft sind diese Kondome schon super. Verfehlen Ihre Wirkung nicht ;)
Markus Vogt,4.0 out of 5 stars,Schon ein bisschen besser,Reviewed in Germany on 2 September 2021,"Die Kondome erfüllen schon den Sinn und Zweck jedoch ist es kein Allheilmittel zur Bekämpfung vom zu frühzeitigen Höhepunkt, wie manche Leute hier annehmen. Wer da größere Probleme hat sollte sich von einem Arzt beraten lassen und nicht über die Bewertungen von Amazon. Alles in allem hat der Kondom die Dauer dennoch verlängert und ein freudiges Erlebnis mitgebracht."
Nik,5.0 out of 5 stars,Von 30s auf 10min - Partner wird begeistert sein,Reviewed in Germany on 6 February 2022,"Was soll ich groß sagen, diese Dinger wirken wunder. Waren es vorher noch 30 Sekunden (welche auch schon gut sind!!), ist das Liebesvergnügen mit diesen kleinen Helden auch endlich mal für die Partnerin auf eine angenehme Länge von mind. 10 Minuten herausholbar.Man muss allerdings aufpassen wenn man den Hut aus der Verpackung holt, dass das Gel nicht herausfällt. Das Gel wirkt bereits nach 30 SekundenRettet einem echt den AbendGebe also ⭐️⭐️⭐️⭐️⭐️"
Kathie,4.0 out of 5 stars,Fine,Reviewed in Germany on 21 November 2021,It does what it is supposed to. I have since changed brands though and I am much happier with the other's performance. It's all subjective. These are okay.
KHAN,3.0 out of 5 stars,Good,Reviewed in Germany on 21 July 2022,Good
Nathalie,4.0 out of 5 stars,Schützt,Reviewed in Germany on 24 February 2022,Schützt
Kevin,5.0 out of 5 stars,Es funktioniert!,Reviewed in Germany on 2 April 2022,Die Kondome halten das was sie versprechen !Das Gefühl ist ein wenig wie ein eingeschlafener arm zu beschreiben aber daran hat man sich schnell gewöhnt.Habe einige Konkurrenzprodukte getestet und dieses hier war mit Abstand das beste.
Claus Roßnagel,4.0 out of 5 stars,Guter Artikel,Reviewed in Germany on 18 January 2022,ok
Justin. R,4.0 out of 5 stars,Produkt Verpackung durch Versand leicht beschädigt,Reviewed in Germany on 28 November 2020,"Das Produkt kam sehr schnell an allerdings war die Verpackung 😁minimal beschädigt. Der Inhalt ist trotz aller dem komplett und unbeschädigt. Funktion es Produktes war zu meiner zufriedenheit. Nach einer einwirkzeit von etwa 5-10 Minuten hat die leichte Bedeutung ca. 15-30 Minuten ang halten. Der Akt hat wesentlich länger angehalten als sonst, allerdings darf man nichts über trieben des erwarten. Es gab in meinem Fall ca eine verbesserung von ca 7_12 Minuten"
Timo B.,1.0 out of 5 stars,Absoluter Müll,Reviewed in Germany on 8 February 2023,Bringt rein gar nichts außer leichtes Brennen danach. Lohnt sich absolut nicht.
Selen,5.0 out of 5 stars,Ich bin mega zufrieden!,Reviewed in Germany on 30 March 2022,Sie tun das was drauf steht. Ich kann durch das Gel innen wirklich länger und deswegen benutze ich diese Gummis seit Jahren.Richtige Atmung und die Gummis und ihr haltet 45 Minuten durch. Viel Erfolg Männer
Peter Samek,4.0 out of 5 stars,Bewerten,Reviewed in Germany on 28 December 2021,gute warre
Mother Mercury 🎶,4.0 out of 5 stars,"Für länger ja, aber für besseren",Reviewed in Germany on 29 October 2021,"Orgasmus, eher nein. Ist halt etwas benommen der Lümmel :-)"
Pálinkás Bendegúz Ákos,3.0 out of 5 stars,Direkt gerissen,Reviewed in Germany on 23 April 2022,Eigentlich gutes Produkt aber nach ner Zeit gerissen
kai maier,1.0 out of 5 stars,Kein Gefühl im Pimmel,Reviewed in Germany on 21 January 2023,Nicht gut kein Gefühl mehr im Pimmel kauf empfehlung geht nicht raus
Amazon Kunde,1.0 out of 5 stars,Komplett Betäubt,Reviewed in Germany on 7 January 2023,"Habe nichts mehr gespürt, da mein Lörres komplett taub war. Müssten abbrechen, hilft also so gesehen nicht zum länger durchhalten!"
Mo,5.0 out of 5 stars,Super schnelle Lieferung,Reviewed in Germany on 21 June 2022,Diese Dinger kann ich nur empfehlen 👍
Ashley Burzick,1.0 out of 5 stars,Atom kaputt,Reviewed in Germany on 8 January 2023,Kondom kaputt ist aufgeplatzt während des Sex das ist eigentlich kalt nicht möchte Geld zurück Anzeige
Martin G.,5.0 out of 5 stars,"Hilft gut, sehr angenehm in der Benutzung",Reviewed in Germany on 25 July 2021,"Wirkt super bei mir, verzögert wirklich merklich, würde ich jederzeit weiterempfehlen, habe bisher, um den selben Effekt zu erzielen Xylocain Dental Betäubung benutzt, ist noch effektiver, aber in der Anwendung sind diese Kondome angenehmer, man muss sie nur schon ein paar Minuten vor dem Akt überziehen, damit das Mittel in der Kondomspitze seine Wirkung entfalten, ist bei Xylocain aber genauso, aufsprühen und dann ca 2- 3 min warten und dann Kondom darüber"
Customer,5.0 out of 5 stars,Der Akt wird verlängert,Reviewed in Germany on 8 April 2022,"Der Akt wird tatsächlich verlängert. Die ""Taubheit"" ist nicht unangenehm. Von mir aus könnte sie Wirkung noch etwas länger andauern"
Felixbadur,4.0 out of 5 stars,Kondome mit Beteubungsgeel,Reviewed in Germany on 15 September 2021,Beteubt Glied passt gut.(man spürt trotzdem noch genug)
Cef Yil,3.0 out of 5 stars,Ich merke keinen großen Unterschied,Reviewed in Germany on 30 December 2021,In der Spitze ist eine gelartige Masse. Diese soll wohl das Gefühl mindern. Ich mehre leider keinen Unterschied. Die normalen Gefühlsechten sind genauso gut
Thomas Bebensee,5.0 out of 5 stars,Produkt wie beschrieben,Reviewed in Germany on 8 June 2022,Produkt wie beschrieben.
Jonathan Franks,5.0 out of 5 stars,Man hält länger durch,Reviewed in Germany on 23 February 2022,Man kann automatisch länger durch die Leichte Betäubung. Die man so aber gar nicht merkt. Ist sehr schwach hat aber trotzdem einen super Effekt.
Fromm Oliver,4.0 out of 5 stars,Bei mir wir nix taub,Reviewed in Germany on 16 January 2021,Ich kann das nicht bestätigen was alle anderen schreiben bei mir wird nix wirklich taub aber eine kleine Verlängerung ist da allerdings würde ich sie zu dem Preis nicht nochmal kaufen
Matthias,2.0 out of 5 stars,Keine Veränderung,Reviewed in Germany on 16 July 2022,Hab keine Verlängerung des vergnügen gemerkt.War wie ein normales kondom.
Hr. Mäuserich,5.0 out of 5 stars,Wirkt,Reviewed in Germany on 6 May 2022,Funktioniert. Hält was es verspricht.
Ein Kunde,5.0 out of 5 stars,Sehr lang,Reviewed in Germany on 28 April 2022,es war sehr lang. stark Empfehlung
Duderino90,3.0 out of 5 stars,Absoluter Fehlkauf,Reviewed in Germany on 13 October 2020,"+ Preis war okay+ kein Kondom gerissen oder löchrig- zwei große Minuspunkte für dieses Kondom: das Performa Gel sorgt unter Umständen für ein Taubheitsgefühl im Glied, was zu seinem Erschlaffen führt und was man beim Sex absolut nicht gebrauchen kann.Dann halte ich lieber nur 3-5 Minuten beim Sex durch und hab wenigstens ne ordentliche Erektion, als zu versuchen, mit dem unerregiertem Glied Spaß zu haben :-) werde diese Kondome nicht nochmal kaufen, mit diesen macht es weder für Frau noch Mann Spaß, wie auch wenn der gute wabblig wie eine Spaghetti wird..."
Florian R.,5.0 out of 5 stars,Mal was Neues,Reviewed in Germany on 2 January 2021,"Die Lieferung war am nächsten Tag bei uns. Ich empfand das Gel nicht als störend. Beim auspacken muss allerdings darauf geachtet werden, dass das Gel nicht herausfällt. Am besten nach dem überziehen kurz einmassieren. Tatsächlich kamen bei uns am Ende ein paar Minuten mehr bei rum (Kann allerdings auch an der Tagesform liegen). Ansonsten gabrn einem die Kondome wie immer ein gutes Gefühl von Sicherheit."
Robert Ionescu,4.0 out of 5 stars,Gute Länge mit keine Effekt,Reviewed in Germany on 20 March 2020,"Ich konnte von dem Akt-verlängerdem Effekt leider nichts merken, bis auf das störende feste Gel in der Kammer an der Spitze.Dafür ist ein absoluter Kaufgrund für mich die Länge der Kondome, da diese deutlich länger sind als die Standard Durex Kondome, passen diese besser, da man sie bis zum Schaft abrollen kann, und dadurch einen viel besseren Halt bekommen."
Frederik J.,1.0 out of 5 stars,Sehr unangenehm,Reviewed in Germany on 21 October 2022,"Haben diverse Produkte von Durex gekauft. Dieses war bei weitem das schlechteste. Ich habe ein starkes Taubheitgefühl in meinem besten Stück gehabt, sodass wir abbrechen mussten.Also in keinsterweise zu empfehlen!!"
Mohamed Fadlallah Ali,1.0 out of 5 stars,Schlecht,Reviewed in Germany on 30 November 2022,Das Anästhetikum ist unwirksam
HAGL,5.0 out of 5 stars,top!,Reviewed in Germany on 27 March 2022,TOP! Sehr zufrieden! Empfehlenswert!
Manuel Möckel,5.0 out of 5 stars,DUREX,Reviewed in Germany on 12 February 2022,Ich kann nur eines sagen: ABSOLUTE KAUFEMPFEHLUNG. Die Wirkung ist ein Traum
Amazon Kunde,3.0 out of 5 stars,Gut aber bereits geöffnet,Reviewed in Germany on 16 September 2020,"Die Kondome sind sehr zeitig angekommen, auch die Lieferung war unproblematisch, jedoch ist mir beim Öffnen des Pakets sofort aufgefallen, dass die Kondompackung bereits geöffnet war und auch die Kondome unterschiedlich wieder eingeordnet wurden. Es ist also sehr offensichtlich, Dass die Packung geöffnet, die Kondome heraus und wieder hinein gelegt wurden. Irgendwelche Einstichlöcher oder Ähnliches konnte ich bisher nicht feststellen. Aus Dringlichkeitsgründen sind einige der Kondome bereits in Benutzung gewesen und jetzt heißt es abwarten was passiert....."
Chris,4.0 out of 5 stars,Satisfied,Reviewed in Germany on 21 January 2021,Product delivered on time. Works as advertised. I am happy with purchase.
Matthias Littmann,5.0 out of 5 stars,Passt,Reviewed in Germany on 28 December 2021,Liegt gut in der Hand und flutscht ganz gut. Halten tun Sie für ne Stunde auch.
Jonas ,5.0 out of 5 stars,a hot morning for a good morning wood,Reviewed in Germany on 22 December 2021,Weiß nicht ob es bloß Einbildung war aber da ging schon mehr als letztens. Zu empfehlen.
Laura Espinosa duquesne,4.0 out of 5 stars,Super,Reviewed in Germany on 7 April 2021,"So schnell, ich Liese so"
Motörhead,4.0 out of 5 stars,Gut,Reviewed in Germany on 23 May 2021,Gut
Amazon Kunde,4.0 out of 5 stars,Naja geht so,Reviewed in Germany on 2 November 2020,Es ist okay mann merkt ein wenig aber nicht das was mann sich vorgestellt hat
Haydar Erünsal,1.0 out of 5 stars,Notmal,Reviewed in Germany on 5 November 2022,Ise yaramaz
Anonym,1.0 out of 5 stars,Bringt nichts,Reviewed in Germany on 8 October 2022,Innen war das Gel trocken und hab auch nichts von der Wirkung gespürt
lenny,5.0 out of 5 stars,Gedacht ich wäre johnny sins,Reviewed in Germany on 20 January 2022,Man kann ****** wie ein champ
Besim,4.0 out of 5 stars,👍,Reviewed in Germany on 22 March 2021,Alles gut
Lesley,4.0 out of 5 stars,Think the long-last is mostly between your ears,Reviewed in Germany on 23 December 2020,"Didn't notice any ""numbing"" effect...."
Veit_Mike,5.0 out of 5 stars,TOP Produkt,Reviewed in Germany on 24 November 2021,"Sehr gutPasst gut , hält gutfühlt sich angenehm an"
Peter Achtermann,4.0 out of 5 stars,Gut,Reviewed in Germany on 14 January 2021,Gut
Ben,2.0 out of 5 stars,Wirkung nicht erkennbar,Reviewed in Germany on 22 January 2022,Sitzt gut und schützt bisher auch gut. Allerdings merke ich nichts von der Wirkung des Gels. Naja... aufbrauchen und dann andere kaufen.
Lenny,5.0 out of 5 stars,Hält was es verspricht,Reviewed in Germany on 23 December 2021,Top Produkt
Denny Eckert,4.0 out of 5 stars,Kondome,Reviewed in Germany on 3 July 2019,"Hab nun das wiederholte mal Kondome bei Amazon bestellt & muss ehrlich sagen, im Vergleich zum Preis Leistungsverhältnis kann man sich nicht beschweren. Sie sitzen gut & der Sex mit ihnen macht Spaß, einer ist mir den Tag fast gerissen daher nur 4 von 5 Sterne"
Palo,5.0 out of 5 stars,Sehr angenehmer Sitz,Reviewed in Germany on 27 June 2021,Hält was sie versprechen. Die Wirkung bei den Kondomen ist sehr gut. Fast schon zu gut. Dazu sitzen sie gut.
Patrick,5.0 out of 5 stars,Funktioniert,Reviewed in Germany on 7 July 2020,Funktioniert sehr gut.In der Spitze ist eine weiße Substanz die durch die Körpertemperatur schmilzt und den Penis etwas betäubt...Gut wenn man viel vor hat...Nur schade das es die nicht in extra groß gibt weil so sind sie doch was eng....
Thomas Schramm,2.0 out of 5 stars,Geht so,Reviewed in Germany on 19 February 2022,Habe ich mir mehr drunter vorgestellt
Kaushalya,5.0 out of 5 stars,Damn 🔥,Reviewed in Germany on 13 November 2021,Unexpectedly Perfect 😹
Chao Zou,5.0 out of 5 stars,sehr gut zu kaufen,Reviewed in Germany on 10 November 2021,Sehr gute Sache
Flo,5.0 out of 5 stars,Erwartung übertroffen...,Reviewed in Germany on 30 March 2021,Super Kondome! Die Wirkung ist echt Klasse. Mann kann wirklich deutlich Länger und härter. Super bin hoch zufrieden.
Jorge Fonseca,4.0 out of 5 stars,👍,Reviewed in Germany on 2 July 2020,😊
Steff,4.0 out of 5 stars,Stark,Reviewed in Germany on 27 November 2019,Länger durchhalten tut man also Produkt erfüllt seinen zweck. Jedoch ist mir persönlich das Gel eteas zu stark.
Vim,3.0 out of 5 stars,Billig und schlecht verpackt,Reviewed in Germany on 16 April 2021,Nicht zu empfehlen. Kauft lieber Skyn
Megafone,5.0 out of 5 stars,Sehr gut 👍,Reviewed in Germany on 21 May 2021,finde es hält was es verspricht kann aber auch nur Einbildung sein
Tim K.,3.0 out of 5 stars,Offene Packung erhalten/Wirkung Top,Reviewed in Germany on 22 August 2020,Die Wirkung ist top. Kleine Einwirkzeit und ab geht's!Ich habe schon 2 mal bestellt beide male war es schon offen ..
Robin,5.0 out of 5 stars,Unglaublich aber wahr.,Reviewed in Germany on 27 December 2020,Der Akt wird tatsächlich stark verlängert. Ich bin jetzt seit zweieinhalb Monaten dran und es ist kein Ende in Sicht ;)
Max G,2.0 out of 5 stars,Schrecklich,Reviewed in Germany on 1 March 2020,"Wer keinen Spaß am Sex haben will, der bekommt hier das richtige.Das Mittel betäubt den Penis total, man spürt im Grunde nichts mehr.Das macht dann auch keinen Spaß, trotzdem kann man aber noch kommen, das gute Gefühl dabei bleibt jedoch aus.Allerdings vergeht mir sehr schnell die Lust, wenn ich mein bestes Stück gar nicht mehr spüre...Auch sollte man hinterher von Blowjobs absehen, da sonst auch noch die Zunge betäubt wird. Die lallende Beschwerde war nur für einen der Beteiligten lustig :D"
Erik S.,3.0 out of 5 stars,Funktioniert auch mit etwas Verzögerung..,Reviewed in Germany on 11 April 2020,"Die Wirkung des Verzögerungsgels setzt erst verspätet ein, ist aber spürbar.Das ""Gel"" liegt beim Entnehmen aus der Verpackung allerdings eher in Form einer bröckeligen Paste vor, könnte irgendwo besser eingearbeitet sein.."
Marcel,4.0 out of 5 stars,Erfüllt sein Zweck,Reviewed in Germany on 2 March 2020,Tipp: einfach auf links drehen wenn die Frau zu schnell ist.
Amazon Kunde,5.0 out of 5 stars,Was soll man da schreiben......,Reviewed in Germany on 16 June 2021,Der Akt wird verlängert. Dh. Es funktioniert.
Amazon Kunde,1.0 out of 5 stars,Absolut nicht empfehlenswert,Reviewed in Germany on 29 July 2022,Für mich absoluter schrott
Jens,5.0 out of 5 stars,Top,Reviewed in Germany on 25 January 2021,"Erfüllt seinen Zweck und ja, man kann länger.Lieferung top wie immer, schnell und gut verpackt."
B,1.0 out of 5 stars,Achtung gerissen!,Reviewed in Germany on 28 April 2022,Das 2. Kondom ist während dem Gebrauch gerissen. Sehr unangenehm denn genau das ist der Zweck eines Kondoms! Restlichen Kondome wurden entsorgt. Das Geld ist auch weg da keine Rückgabe mehr möglich.
Thomas Ehret,4.0 out of 5 stars,Okay,Reviewed in Germany on 1 March 2020,Okay
MrApplebee,5.0 out of 5 stars,5/5,Reviewed in Germany on 13 April 2021,"Preis - Leistung top, schützt, angenehm zu tragen"
