User_Name,Stars_Rating,Review_Title,Review_Date,Review_Content
Marcel,5.0 out of 5 stars,Sie halten was sie versprechen,Reviewed in Germany on 5 September 2020,Finde das sie ein kleines bisschen das bewirken was sie sollen.Nur das die Dinger gern ma reißen was natürlich nicht gut ist.
Michael Roth,1.0 out of 5 stars,bei der ersten Benutzung gerissen :(,Reviewed in Germany on 18 June 2022,Scheint nicht stabil zu sein. Bei ordnungsgemäßer Anwendung gerissen
Konstantin,3.0 out of 5 stars,Hilft nicht viel,Reviewed in Germany on 18 October 2020,Hat mir nichts gebracht. Da reichen auch die normalen
Krzysztof Bockholt,5.0 out of 5 stars,Gut,Reviewed in Germany on 12 July 2021,Gut
Michael,3.0 out of 5 stars,Prima,Reviewed in Germany on 17 December 2020,Alles ok...
Raphael S.,5.0 out of 5 stars,Not pregnant,Reviewed in Germany on 11 May 2021,They work great! :)
Vera,5.0 out of 5 stars,Jepp,Reviewed in Germany on 25 April 2021,Tut was es soll
Martin,3.0 out of 5 stars,Sehr gut!,Reviewed in Germany on 18 November 2020,Sehr gut!
Amazon Kunde,3.0 out of 5 stars,Packung offen und fehlend,Reviewed in Germany on 19 August 2020,"Packung leider geöffnet, und 2 fehlen also bisschen enttäuscht"
XiaoQiang,5.0 out of 5 stars,Super super super,Reviewed in Germany on 6 May 2020,"Ich habe das geholt weil es für eine verlängerte Geschlechtszeit versprich, das kann ich bestätigen.Zur Vergleich zur Medikament, hat das Produkt keine Nebenwirkungen. Ich werde wieder kaufen."
Amazon Kunde,5.0 out of 5 stars,Erfüllen ihre Aufgabe,Reviewed in Germany on 9 December 2020,Kein Kondom ist gerissen somit haben sie für mich ihre Aufgabe erfüllt
Peter Glockner,5.0 out of 5 stars,Top Performance,Reviewed in Germany on 2 January 2021,Macht viel mehr Spaß und das auch bedeuten länger 👌
PACO,2.0 out of 5 stars,Fake,Reviewed in Germany on 16 December 2020,Leider hält es nicht das was es verspricht.Es gibt westlich bessere und GÜNSTIGERE !!nie wieder da kann ich ja auch normale Gummis nehmen da bin ich auch nach 10sekunden fertig !
Amazon Kunde,5.0 out of 5 stars,herr,Reviewed in Germany on 3 May 2021,sehr gut
sausekatze 1,5.0 out of 5 stars,Kondome,Reviewed in Germany on 27 March 2021,"Gutes Produkt, guter Preis"
Amazon Kunde,2.0 out of 5 stars,Hat keine Wirkung,Reviewed in Germany on 17 August 2021,Ich hab es nur neugierig bestellt und wirkt nir wenn man mehre Stücks nutzt
Nic,4.0 out of 5 stars,Top Produkt,Reviewed in Germany on 15 July 2019,Tut was es soll
Amazon Kunde,1.0 out of 5 stars,Zerrissen,Reviewed in Germany on 10 April 2022,"Zwei Stück verwenden und beide sind zerrissen.Rest sofort weggeschmissenen.Sehr enttäuschend, da ich sonst mit Durex sehr zufrieden war"
Patrick Mossner,3.0 out of 5 stars,Verpackung heut schlecht ansonsten alles gut,Reviewed in Germany on 26 August 2020,Produkt Packung war offen
Christop Müller,5.0 out of 5 stars,Alles super  :),Reviewed in Germany on 3 May 2021,*_*
Privat ,1.0 out of 5 stars,Paket geöffnet und zwei Stück fehlen,Reviewed in Germany on 2 May 2022,Paket war geöffnet und 2 Stück fehlten. Was eine Frechheit
N. Koch,5.0 out of 5 stars,Hammer aber schon teuer,Reviewed in Germany on 8 July 2019,Also die Kondome bringen der erhofften Effekt. Ich konnte viel länger während dem Sex. Meine Freundin hats natürlich am meisten gefreut. Aber auch ich hatte längeres Vergnügen. Allerdings ist es schon verdammt teuer für 14 mal Sex...
JuliaBrue,3.0 out of 5 stars,Naja,Reviewed in Germany on 5 February 2020,"Leider halten sie nicht wirklich, was sie versprechen. Man muss echt lange warten, bis das Zeug im Kondom wirkt."
Gintaras,4.0 out of 5 stars,👍,Reviewed in Germany on 2 November 2019,👍
Marcel,5.0 out of 5 stars,Ja ab und an mal,Reviewed in Germany on 5 September 2020,Halten auch das was sie versprechen.Finde zwar das es ein anderes Gefühl gibt.
Mergim Bajramaj,1.0 out of 5 stars,Nicht gut,Reviewed in Germany on 30 May 2022,War nicht sehr überzeugt
Thorsten,5.0 out of 5 stars,Sitzen perfekt,Reviewed in Germany on 5 January 2021,Die Kondome sitzen perfekt und halten dicht.
Felixistderdabo,5.0 out of 5 stars,Kondom,Reviewed in Germany on 22 February 2021,Erfüllt seinen Job
Mateusz,5.0 out of 5 stars,Passt,Reviewed in Germany on 19 January 2021,"Passt und schnell lieferung, empfehles"
Sv,2.0 out of 5 stars,Kondome reißen,Reviewed in Germany on 14 January 2020,Trotz einiger Bewertungen die von reißenden Kondomen berichtet haben habe ich sie bestellt. Ich dachte bei Durex kann das nicht stimmen. Aber auch bei mir ist schon das zweite Kondom gerissen. Das ist selbstverständlich ein K.O. Kriterium.Ihren eigentlichen Zweck der Verzögerung erfüllen Sie einigermaßen gut. Den der Verhütung aber offensichtlich nicht.Auf keinen Fall kaufen.
Dbaran,5.0 out of 5 stars,Super,Reviewed in Germany on 3 February 2021,Sehr schön und gut
immobbbbb,3.0 out of 5 stars,Nicht der gewünschte Erfolg,Reviewed in Germany on 3 April 2020,"Kondom ist Durex üblich sehr gut. Verlängerung des Aktes, eher Fehlanzeige"
Finn,2.0 out of 5 stars,Nicht das was versprochen wird,Reviewed in Germany on 7 June 2020,"Konnte nicht, wie im Titel versprochen, länger. Also überteuerte Condome. Was aber auch noch viele andere geschrieben haben, ist das zu viel Gleitgel verwendet wurde/wird, das ist nicht der Fall, Rate aber dennoch vom Kauf ab und würde eher billigere Empfehlen"
khalil,5.0 out of 5 stars,Gut,Reviewed in Germany on 26 February 2021,Gut
Bipin,3.0 out of 5 stars,It is too much expensive,Reviewed in Germany on 24 April 2020,Its not good working
Weizenkene,5.0 out of 5 stars,Ballern die Ganze Nacht,Reviewed in Germany on 20 July 2020,Etz muss man sich nichtmehr 15 Weizen für ausdauer reinballern diese Goldstücke erhöhen die Leistung um 100%
Jörg Knell,5.0 out of 5 stars,Neutrale Verpackung,Reviewed in Germany on 16 February 2021,Top
Diogo F.,5.0 out of 5 stars,Durex,Reviewed in Germany on 16 January 2021,Durex
Denis Neer,5.0 out of 5 stars,Super,Reviewed in Germany on 7 April 2020,Die Kondome Verpackung sieht sehr schön aus und die Kondome sind sehr angenehm zu tragen :)
Justin K,1.0 out of 5 stars,Nicht kaufen!,Reviewed in Germany on 30 January 2022,Gibt nicht viel dazu zu sagen aber die Creme funktioniert bei mir nicht und jetzt schon 2 mal ein Kondom gerissen bzw. geplatzt.
Marco Duarte,5.0 out of 5 stars,Kondome halt,Reviewed in Germany on 19 January 2020,Kondome halt. Und 3MM mehr Durchmesser als standart bessere Passform vorallem sie rutschen nicht mehr so leicht ab
Jan Hübenbecker,2.0 out of 5 stars,Eins ist gerissen.,Reviewed in Germany on 14 April 2021,Eins ist bei Benutzung gerissen. Unvorteilhaft.
Eugen k.,5.0 out of 5 stars,Zu viel versprochen,Reviewed in Germany on 14 September 2020,Nichts BesonderesGanz normale Gummis
Dimitri W.,2.0 out of 5 stars,Wirkt bei mir nicht,Reviewed in Germany on 4 November 2020,"Hat bei mir keine Wirkung, am Ende doch ganz normale Kondome. Und normale Kondome gibt's auch günstiger zu kaufen."
Wolf1071,5.0 out of 5 stars,Ok,Reviewed in Germany on 22 November 2020,Erfüllt seinen zweck
Šãlī,3.0 out of 5 stars,Diesdas,Reviewed in Germany on 27 January 2020,Eigentlich gut aber reißen schnell
Anonym,5.0 out of 5 stars,Scheinen zu funktionieren,Reviewed in Germany on 19 February 2020,"Handbetrieb hat bereits Erfolge gezeigt. Von weniger Gefühl kann ich so nicht reden, jedoch von einem längeren Spiel."
Amazon Kunde,1.0 out of 5 stars,ausversehen bestellt ohne zu wissen was es ist,Reviewed in Germany on 14 March 2022,Ausversehen bestellt ist komisch und nervt
Mario Rißmann,5.0 out of 5 stars,Alles gut passt 😂,Reviewed in Germany on 14 November 2020,Top Qualität
Frank,5.0 out of 5 stars,Funktioniert,Reviewed in Germany on 2 August 2020,Wird alles eingehalten was versprochen wird
Stanley Lehmann,2.0 out of 5 stars,"Kein Effekt,  seit vorsichtig sind sehr groß",Reviewed in Germany on 8 July 2020,"Also Umverpackung war fürn A.... . Und bewirkt auch nix , sind echt ziemlich groß anfällig zum reißen dadurch. Gibt's bei Rossmann auch aber günstiger"
Philipp,5.0 out of 5 stars,Top,Reviewed in Germany on 24 November 2020,Top
MOHAMMAD ALOKLAH,5.0 out of 5 stars,Gut,Reviewed in Germany on 16 November 2020,Gut
EW,5.0 out of 5 stars,Gutes Preisleistungsverhältnis.,Reviewed in Germany on 14 October 2020,Gutes Preisleistungsverhältnis.
König Löw,1.0 out of 5 stars,Achtung!!!,Reviewed in Germany on 30 June 2020,"Eines der Produkte, die ich in der ersten Packung verwendet habe, war zerrissen. Das ist sehr gefährlich für mich und meine Frau. Wir haben gedanken man kann einmal so werden.Beim zweiten mal hatten wir das gleiche problem, was für uns sehr wichtig ist. Es wurde wieder zerrissen. Überprüfen Sie dies unbedingt vor der Verwendung. Ich weiß nicht, dass das Produkt nicht original ist. Ich hoffe dass ich eine befriedigende Antwort vom Verkäufer bekomme."
Patti,5.0 out of 5 stars,Qualität ist top,Reviewed in Germany on 13 August 2020,Optimal! Sehr zu empfehlen!!!
Muhammad Abid,5.0 out of 5 stars,Great work,Reviewed in Germany on 23 September 2020,Great work
Robert Steil,5.0 out of 5 stars,Schlecht,Reviewed in Germany on 14 October 2020,Naja
Einfach ich,5.0 out of 5 stars,Toller Ständerhalter,Reviewed in Germany on 8 November 2019,"Waren ganz toll. Mein Ständer war noch 3 Tage danach betäubt, endlich habe ich ihn nicht mehr gespürt"
Tim Reichelt,3.0 out of 5 stars,Gefühlsecht ist da nicht mehr bei.,Reviewed in Germany on 6 August 2019,Fühlt sich komisch an.
Amazon Kunde,5.0 out of 5 stars,Einfach nur mega geil. Man wird direkt zum syxgott,Reviewed in Germany on 29 September 2020,Baba
10JJ10,1.0 out of 5 stars,Used only once,Reviewed in Germany on 29 November 2021,"Used once, popped, did not notice because I did not feel anything at all. Not going to use them again."
Fischer 1 😎,1.0 out of 5 stars,Hilft nichts!,Reviewed in Germany on 28 December 2021,Allso der sex ist gleich wie immer hilft nichts
Tobias G,1.0 out of 5 stars,Größter Mist,Reviewed in Germany on 10 January 2022,Teuer und dass Verzögerungsgel ist schon kristalline
Boban krstic,5.0 out of 5 stars,Sehr zufrieden,Reviewed in Germany on 25 November 2019,Benutze schon Jahre lang diese Kondome und bin schwer zufrieden
5536,1.0 out of 5 stars,Bringt nichts,Reviewed in Germany on 5 December 2021,Haben keine Wirkung gesehen und es brennt. Nicht zu empfehlen
Martina Wendt,5.0 out of 5 stars,Macht was es soll...,Reviewed in Germany on 6 September 2019,… macht es länger als sonst... alles gut... Qualität von Durex...
Ahmad Akko,2.0 out of 5 stars,Wirkt nicht so stark und rutsch sehr.,Reviewed in Germany on 4 August 2020,"Hat mir nicht gefallen, unangehmem und hab besser Ergebnisse erwartet"
Amazon Kunde,5.0 out of 5 stars,Alles okay,Reviewed in Germany on 31 December 2019,Mein Mann und ich hatten wieder viel Spaß
CL,5.0 out of 5 stars,Tut was es soll!,Reviewed in Germany on 3 January 2020,Länger und angenehmer mit diesen Durex Kondomen
M.K,5.0 out of 5 stars,Verbesserung ist spührbar,Reviewed in Germany on 3 October 2019,Machen aus dem Mann jetzt kein Zuchtbullen aber verlängert aufjedenfall den akt
Holgi bremen ,1.0 out of 5 stars,Fehlkauf,Reviewed in Germany on 22 December 2021,Nichts weiter als ein Marketing-Gag.....ausser Spesen...
Tobi,1.0 out of 5 stars,Ungenügend!,Reviewed in Germany on 11 May 2020,"Kurz und Knapp.3 Gummis probiert und Ordnungsgemäß nach Anleitung benutzt und trotz alledem sehr enttäuschend.Alle 3 Stück sind gerissen und von einem längerem ""Erlebnis"" habe ich auch nichts bemerkt.Wie hier schon einige Leute geschrieben haben, wer kein Kind riskieren will, sollte andere Kondom benutzen.Pille danach ist nicht Billig!Nicht zu Empfehlen!"
MM,1.0 out of 5 stars,MAN DARF NICHT ZURÜCK SENDEN!!!,Reviewed in Germany on 19 February 2021,"Das Produkt kam wie gesagt.Als ich die Verpackung geöffnet habe, habe ich direkt gemerkt dass das Paket öffnen ist und man DARF NICHT ZURÜCK SENDEN!!!!!!!!!Das ist das erste Mal, dass ich so was erlebe!"
Darkiii,5.0 out of 5 stars,„Passt“ :-D,Reviewed in Germany on 4 May 2020,Angenehm im tragen
Alexx2012,5.0 out of 5 stars,Top,Reviewed in Germany on 9 April 2020,Macht echt Spaß damit
Jonas,5.0 out of 5 stars,Top,Reviewed in Germany on 18 June 2020,Läuft:D
Jose P.,5.0 out of 5 stars,It really helps improve sex life,Reviewed in Germany on 29 December 2019,It helped with premature ejaculation definitely
Kai ,5.0 out of 5 stars,Für längeren Spaß mega,Reviewed in Germany on 27 April 2020,Sehr angenehm
S0n1ks,1.0 out of 5 stars,Versand NOGO,Reviewed in Germany on 16 October 2020,Ich werde sie nicht ausprobieren da die Verpackung bereits geöffnet war und die Kondome alle verschiedenherum waren heißt da war schon mal jemand dran .Müsste man eigentlich umgehend zurück schicken aber für 10 Euro habe ich da keine Lust drauf .Dann doch lieber im Laden kaufen
FB,1.0 out of 5 stars,Kein unterschied zu merken,Reviewed in Germany on 27 September 2020,"Kondome an sich super , wie jedes andere Kondom auch einfach abzurollen und reißfest.Von dem gel was drinne sein soll habe ich selber überhaupt nichts gemerkt , weder beim ersten noch bei weiteren Kondomen der Packung.Also eher nicht zu empfehlen da kann man auch günstigere Kondome kaufen"
trinh,5.0 out of 5 stars,Gut,Reviewed in Germany on 21 May 2020,Perfect
Willy,1.0 out of 5 stars,Nicht zu empfehlen,Reviewed in Germany on 5 February 2021,Verpackung war geöffnet und beschädigt.Völlig enttäuscht von der Lieferung.Habe auch keine Wirkung gespürt.Das Gel an der Spitze war eher hart wie wax und hat auch nichts gebracht.
Alex1818,1.0 out of 5 stars,Müll,Reviewed in Germany on 8 January 2022,Schmutz
Andreas Leykamm,1.0 out of 5 stars,Gel klumpig,Reviewed in Germany on 11 October 2020,Leider war auch nach der zweiten Lieferung der Artikel in keiner guten Qualität. Wie bei der ersten Lieferung war das „Gel“ kein Gel mehr sondern zu einem Klumpen geworden. Anscheinend schlecht gelagert und somit keine Kaufempfehlung
Amazon Kunde,1.0 out of 5 stars,Null Komma gar keine Wirkung!!,Reviewed in Germany on 17 February 2021,Bringt überhaupt nichts bezogen auf den versprochenen Produktnutzen. Keine Wirkung auf die Empfindlichkeit auch nicht nach längerem tragen.
Sagopa Kajmer,1.0 out of 5 stars,Klumpen statt Gel,Reviewed in Germany on 23 December 2020,Das Angebliche gel existierte nicht dafür aber eigenartige Klumpen. Ich habe schon einige ähnliche Kommentare gelesen. Gewirkt hat natürlich auch nichts. Rausgeschmissenes geld.
Benjamin Nicolas Martinez Sanchez,5.0 out of 5 stars,Schnell geliefert und gute Qualität,Reviewed in Germany on 9 August 2019,Schnell geliefert und wie in Produktbeschreibung
Hierzenberger Albert,2.0 out of 5 stars,Leider nicht,Reviewed in Germany on 8 September 2019,Verspricht mehr als es kann
andathebridge,5.0 out of 5 stars,Alles Bestens!,Reviewed in Germany on 28 November 2019,Alles Bestens!
Amazon Kunde,1.0 out of 5 stars,Nicht empfehlenswert,Reviewed in Germany on 23 January 2020,Sollen vorne im reservoir Stückchen sein???Zudem waren die Klebepunkte die den Karton zusammenhalten so schlecht das Sie den Versand nicht überlebt haben.Ein Kondom sah deshalb so rampuniert aus das es sofort in die Tonne gekommen ist.
Patrick Bongardt,1.0 out of 5 stars,Paket kam aufgeplatzt an. Kann nicht zurückgegeben werden.,Reviewed in Germany on 4 September 2021,
Nils,5.0 out of 5 stars,Das mit den Gel funktioniert wirklich!,Reviewed in Germany on 19 November 2019,Sehr gut!
Umberto,5.0 out of 5 stars,👍🏽,Reviewed in Germany on 5 January 2020,👍🏽
Anonym,1.0 out of 5 stars,Nee,Reviewed in Germany on 14 August 2021,Nicht so geil
Amazon Kunde,1.0 out of 5 stars,Kiste kam geöffnet,Reviewed in Germany on 27 November 2020,"Die Kiste kam geöffnet ! Diese kommen ja nomalerweise mit einem Plastikfilm, hier war sie komplett geöffnet..."
Najeeb Ahmed,1.0 out of 5 stars,Paket kam beschäftigt,Reviewed in Germany on 27 August 2021,
x3,1.0 out of 5 stars,Does no work,Reviewed in Germany on 6 April 2021,it is useless and get cheap from other countries.
Julia W. ,1.0 out of 5 stars,Löcher!,Reviewed in Germany on 8 October 2019,"Die Kondome sind nicht sicher, zur Verhütung auf keinen Fall geeignet! Da das auch andere Rezensionen schon ausgesagt haben, kann es sich kaum um einen Einzelfall handeln. Unbedingt aufpassen! Außerdem brennen sie bei der Frau und haben auch nicht die versprochene Wirkung."
J,1.0 out of 5 stars,Leider kein Effekt.,Reviewed in Germany on 13 July 2020,Leider hält es nicht was es verspricht. Mein Freund hat überhaupt nichts gespürt. Leider ist es wie jedes andere Kondom.
Amazon Kunde,1.0 out of 5 stars,Packung war geöffnet,Reviewed in Germany on 7 January 2020,"Packung war geöffnet und es fehlten 4 Kondome. Wirkt wenig vertrauenswürdig. Zum Artikel selbst kann ich noch nichts sagen, werde ihn aus genannten Gründen hier aber wohl nicht mehr bestellen."
Brisler,5.0 out of 5 stars,Klasse schneller Versand,Reviewed in Germany on 10 September 2019,Super Preisleistung!
Hintermaier Thomas,1.0 out of 5 stars,Gerissen,Reviewed in Germany on 2 May 2020,Kondom gerissen und da betäubt erst bemerkt als es zu spät war.Wer Nachwuchs möchte für den ist dies Ideal.
Marlon,1.0 out of 5 stars,Nutzlos,Reviewed in Germany on 1 March 2020,"Absolut nicht zu gebrauchen, lassen sich schwer abrollen und sind auch nach ner Minute so schlecht im sitz dass die einfach rutschen"
Amazon Kunde,1.0 out of 5 stars,Gerissen,Reviewed in Germany on 7 April 2021,2 Stück in einer Runde gerissen
Tobias Steverding,1.0 out of 5 stars,Nicht sicher,Reviewed in Germany on 22 June 2019,Ich habe nach dem ersten Kondom den rest der Packung weg geworfen. Das erste Kondom ist während der Aktes Gerissen und natürlich erst danach bemerkt. Also wenn ihr ein Kind wollt ist das hier das beste Kondom.
Brobee,1.0 out of 5 stars,Verpackung war geöffnet,Reviewed in Germany on 27 April 2021,Wurde sofort reklamiert
Recep Ivedik,1.0 out of 5 stars,Hat nicht geholfen,Reviewed in Germany on 3 March 2021,War nach 3 Minuten fertig
Max Eigner,1.0 out of 5 stars,Zu starkes Gel...,Reviewed in Germany on 14 October 2020,Viele zu starke Wirkung für mich. Man spürt nichts mehr.
Marvin,1.0 out of 5 stars,Schlechter als normale Kondome,Reviewed in Germany on 28 March 2021,normales Kondom
Caroline Hammer,1.0 out of 5 stars,Katastrophe!!!,Reviewed in Germany on 20 November 2019,"Eine Katastrophe! Die ganzen Kondome waren lose im Karton, die Kondomverpackung total kaputt!Nie wieder!!!!!!"
Niklas B.,1.0 out of 5 stars,Klumpen im Kondom,Reviewed in Germany on 28 January 2020,"Kondome enthielten getrocknetes Geel, in jedem Kondom waren Klumpen. Einfach eine Frechheit."
wahbi majdoub,1.0 out of 5 stars,sehr dünn,Reviewed in Germany on 11 November 2020,sehr dünn geht schnell kaputt
Muhammed Sabreen,1.0 out of 5 stars,Besser erwartet,Reviewed in Germany on 10 July 2020,Risst schnell auf / stinkt komisch und ziemlich klein
burhan,1.0 out of 5 stars,Not satisfied 😕,Reviewed in Germany on 13 November 2020,"It,s getting damaged quickly"
Harryb,1.0 out of 5 stars,Finger weg,Reviewed in Germany on 25 July 2020,Hat nichts gebracht schade für das Geld.
Amazon-Kunde,1.0 out of 5 stars,Schon geöffnet,Reviewed in Germany on 10 November 2020,War schon geöffnet
Ed Kass,1.0 out of 5 stars,Damaged,Reviewed in Germany on 10 July 2020,I received an opened box
Rudolf das Rentier,1.0 out of 5 stars,Gute Qualität,Reviewed in Germany on 26 December 2019,"Der beworbene ""Effekt"" trat nicht ein, ansonsten gutes Produkt."
Daniel ,1.0 out of 5 stars,Naja,Reviewed in Germany on 22 May 2020,Hat bei mir nichts gebracht.
Si,1.0 out of 5 stars,Kondome,Reviewed in Germany on 2 August 2019,Schrott das gel war mittlerweile ausgetroknet.. lieber sein lassen
Guler Tatli,1.0 out of 5 stars,0,Reviewed in Germany on 5 December 2019,Nicht wie vorgeschrieben
Maximilian Verstappen,5.0 out of 5 stars,Wahnsinn!,Reviewed in Germany on 18 August 2022,"Also, ich könnte nicht begeisterter sein. Die Dinger funktionieren wirklich hervorragend. Wo man sonst eine viertel oder halbe Stunde bummst, ist hiermit mal locker ne Stunde drin. Dabei hat man aber keinen tauben Pimmel, sondern merkt alles. Geht bloß länger."
m.sczepanski,4.0 out of 5 stars,Qualitätsprodukt mit einer kleine Einschränkung,Reviewed in Germany on 4 September 2019,"Ich persönlich benutze bevorzugt Kondome des Herstellers Durex. Nicht nur, weil ich bis jetzt wirklich immer mit der Qualität zufrieden war, sondern weil Durex auch ein breitgefächertes Sortiment von verschiedenen Kondomen bietet. Und die Durex Performa Kondome sind ein weiteres Produkt aus der Reihe der Kondome des Herstellers.Die Kondome selbst kommen in einer üblichen Verpackung, die (wenn man den Hersteller besser kennt) man von Durex gewohnt ist. Jedes der Kondome ist einzeln verpackt und die Packung liefert 14 Stück der Performa Kondome.Wenn man sich die Aufdrucke auf der Verpackung durchließt, steht dort u.A. dass die Kondome ein benzocainhaltiges Gel enthalten. Allerdings war ich tatsächlich etwas irritiert, als ich das erste Kondom aus der versiegelten Verpackung entnommen habe. Denn unter Gel verstehe ich nicht einen weißen, doch gehärteten ""Klumpen"". In dem Reservoir an der Spitze des Kondoms befindet sich das gehärtete Gel. Somit muss man beim ""Anlegen"" des Kondoms nicht nur darauf achten, dass es fest und sicher sitzt, sondern man muss auch darauf achten, dass dieses gehärtete Gel nicht verloren geht und aus dem Reservoir an der Spitze des Kondomes fällt, noch bevor man es verwendet. Natürlich verflüssigt sich dieses gehärtete Gel bei Verwendung durch die Körperwärme und löst sich somit auch während dem Akt auf. Spätestens dann verteilt sich auch das benzocainhaltige Gel innerhalb der Spitze des Kondomes und kann auch somit seine Wirkung zeigen.Der Hersteller gibt an, dass durch dieses benzocainhaltige Gel der Höhepunkt heraus gezögert wird und die Erregungsphase länger andauert. Wir haben jetzt zwar nicht mit einer Stoppuhr die Zeit gemessen aber der Aussage des Herstellers kann ich nur bedingt zustimmen. Ja, ich muss zugeben dass es länger dauert, aber man kann hier sicherlich nicht von einer extrem langen Verzögerung reden. Ich konnte zwar durchaus eine Verbesserung feststellen und auch meine Frau findet, dass es insgesamt länger gedauert hat. Aber wir beide sind der Ansicht, dass wir hier von einem Minutenbereich und nicht Stundenbereich reden. Sprich: Das benzocainhaltige Gel sorg für eine spürbare Verzögerung um einige Minuten. Die Wirkung dauert aber sicherlich nicht stundenlang an.Ansonsten bieten diese Kondome die von mir gewohnte Durex-Qualität mit einer guten Passform, einem angenehmen Tragekomfort und der Sicherheit was die Reißfestigkeit angeht. Und auch bei mehrfacher Verwendung dieser Kondome kann ich sagen, dass ich keinerlei an negativen Auswirkungen des benzocainhaltigen Gels auf meinen Intimbereich hatte. Keinerlei Reizungen, Rötungen, Ausschläge oder sonst etwas in dieser Richtung. Natürlich kann ich hier nur von mir selbst ausgehen. Wer also bereits in der Vergangenheit eine Unverträglichkeit mit benzocainhaltigen Gels festgestellt hat, sollte lieber die Finger von diesem Produkt lassen.Alles in allem bin ich doch ganz zufrieden mit diesem Produkt. Klar schlägt sich die Verwendung des Gels innerhalb der Kondome auch im Preis nieder, aber auch hier bin ich im groben und ganzen mit dem Preis-Leistungs-Verhältnis zufrieden. Ich ziehe hier lediglich einen Stern in der Gesamtwertung ab, da ich schon etwas von der Darreichungsform des gehärteten Gels im Reservoir des Kondoms enttäuscht bin. Ich hätte mir nicht vorgestellt, dass es so aussieht."
